"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGSC0003DMT400000002",58.5224075381709,-0.341797731755006,0.662857211722924,-0.515643076231444,0.606103718679781,0.865589194129338
"PGSC0003DMT400000004",9.78653816327297,-0.298750941316443,0.631809571096897,-0.472849660694085,0.636320441182673,0.87926141194658
"PGSC0003DMT400000009",68.865371686417,-2.67164388925825,0.758813634082885,-3.52081692955773,0.000430219528915801,0.00996607322802382
"PGSC0003DMT400000010",205.918256286954,0.055241940398093,0.24667945346289,0.223942203627444,0.822802275821322,0.945555512343913
"PGSC0003DMT400000012",36.4111535092888,-0.671069659087647,0.367072156326664,-1.82816824300465,0.0675243055317617,0.315843907432887
"PGSC0003DMT400000016",34.7882922531575,-0.149102011202014,0.432953812204233,-0.344383181298053,0.73055813557919,0.913811539016524
"PGSC0003DMT400000019",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000024",7.91240523660137,-0.957570370975764,0.727402857437617,-1.31642371374364,0.188031867494629,0.545117280210086
"PGSC0003DMT400000025",0.109393536967068,0.692428746505928,4.0804728567969,0.169693261248519,0.865251373955029,NA
"PGSC0003DMT400000028",339.096985752365,0.294948555444952,0.301432994173259,0.978487959667149,0.327833043439139,0.686512626426895
"PGSC0003DMT400000030",31.2524649881745,0.123123631445864,0.437387452279023,0.281497859173427,0.778328569859543,0.932862249682924
"PGSC0003DMT400000034",101.48997841818,0.145226519682167,0.283931095672268,0.511485081753065,0.609011431927831,0.867109344103297
"PGSC0003DMT400000036",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000041",0.722799716622792,-1.8500246327816,2.52310209043088,-0.733234156397398,0.463415626177736,NA
"PGSC0003DMT400000042",0.313577101621633,-1.94407162055692,4.05576831453258,-0.479334979168052,0.631700341554303,NA
"PGSC0003DMT400000043",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000049",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000051",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000054",11.4345002576372,0.214587295355544,0.588786864289592,0.364456662283824,0.715517030127811,0.91063385910029
"PGSC0003DMT400000060",5.63265330917273,-0.875333600079763,0.855284802587978,-1.02344107767509,0.30609934571833,0.667630051214065
"PGSC0003DMT400000061",57.9213819771961,-0.0987688737698819,0.315755659140023,-0.31280159487524,0.754431403614732,0.924136582781878
"PGSC0003DMT400000063",33.4270327964038,-0.0220967848279307,0.375702495212318,-0.058814580977013,0.953099794625301,0.986731810697291
"PGSC0003DMT400000064",27.372573370099,0.267406995361598,0.404012766162819,0.661877588427074,0.508049675973701,0.817031695912991
"PGSC0003DMT400000066",61.3413651722892,-0.00578718630502795,0.474282181638583,-0.0122019897206215,0.990264462376459,0.996961734381475
"PGSC0003DMT400000067",18.7126494425703,-0.75807147016043,0.528016720373766,-1.4356959560368,0.151088876462433,0.492323771461895
"PGSC0003DMT400000078",516.282311091398,0.237826630482151,0.210434780012802,1.13016788606752,0.258405488852725,0.624280068948756
"PGSC0003DMT400000080",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000083",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000086",0.536036449473158,-1.30394112365541,3.1650471684748,-0.411981576970862,0.680352926635357,NA
